forward primer,reverse primer,forward GC,forward T,reverse GC,reverse T,dist,Mg Conc,idx,mean_ct
forw3,rev8,0.6,60.18,0.55,60.32,841.0,3.4,35.0,15.135281562805176
forw4,rev5,0.6,59.81,0.6,59.89,212.0,3.4,139.0,16.2100830078125
forw1,rev4,0.55,59.81,0.55,59.68,688.0,1.3,196.0,27.13336181640625
forw6,rev2,0.6,60.18,0.55,59.74,511.0,1.3,116.0,24.496257781982425
forw4,rev7,0.6,59.81,0.55,60.18,326.0,2.0,149.0,9.609214782714844
forw1,rev7,0.55,59.81,0.55,60.18,366.0,1.3,184.0,32.622238159179695
forw2,rev4,0.55,60.18,0.55,59.68,576.0,1.3,96.0,25.30094146728516
forw3,rev8,0.6,60.18,0.55,60.32,841.0,2.7,34.0,9.094284057617188
forw6,rev0,0.6,60.18,0.55,60.18,147.0,2.7,110.0,26.63984680175781
forw1,rev5,0.55,59.81,0.6,59.89,252.0,2.7,174.0,19.871755599975586
