forward primer,reverse primer,forward GC,forward T,reverse GC,reverse T,dist,Mg Conc,idx,mean_ct
forw6,rev0,0.6,60.18,0.55,60.18,147.0,2.0,109.0,16.815275192260742
forw1,rev1,0.55,59.81,0.55,59.89,159.0,2.7,170.0,15.47668743133545
forw5,rev1,0.55,60.18,0.55,59.89,88.0,3.4,39.0,17.74773597717285
forw2,rev1,0.55,60.18,0.55,59.89,47.0,3.4,75.0,11.093099594116213
forw4,rev1,0.6,59.81,0.55,59.89,119.0,3.4,135.0,22.59225082397461
forw1,rev9,0.55,59.81,0.5,60.18,65.0,3.4,191.0,12.601251602172852
forw0,rev1,0.5,60.32,0.55,59.89,45.0,3.4,211.0,21.77505111694336
forw5,rev5,0.55,60.18,0.6,59.89,181.0,2.0,41.0,15.392240524291992
forw5,rev5,0.55,60.18,0.6,59.89,181.0,2.7,42.0,19.253463745117188
forw5,rev3,0.55,60.18,0.6,59.89,179.0,2.0,45.0,28.71856689453125
forw5,rev3,0.55,60.18,0.6,59.89,179.0,2.7,46.0,22.89506530761719
