well,ct,mean_ct
A1,Undetermined,16.815275192260742
A2,Undetermined,
A3,Undetermined,15.47668743133545
A4,23.095796585083008,17.74773597717285
A5,Undetermined,11.093099594116211
A6,Undetermined,22.59225082397461
A7,18.385530471801758,12.601251602172852
A8,Undetermined,21.77505111694336
A9,10.880993843078613,15.392240524291992
A10,10.828393936157227,19.253463745117188
A11,Undetermined,28.71856689453125
A12,17.696697235107422,22.895065307617188
B1,Undetermined,16.815275192260742
B2,Undetermined,
B3,8.257506370544434,15.47668743133545
B4,Undetermined,17.74773597717285
B5,Undetermined,11.093099594116211
B6,Undetermined,22.59225082397461
B7,Undetermined,12.601251602172852
B8,Undetermined,21.77505111694336
B9,Undetermined,15.392240524291992
B10,Undetermined,19.253463745117188
B11,Undetermined,28.71856689453125
B12,24.002883911132812,22.895065307617188
C1,Undetermined,16.815275192260742
C2,Undetermined,
C3,Undetermined,15.47668743133545
C4,Undetermined,17.74773597717285
C5,Undetermined,11.093099594116211
C6,22.59225082397461,22.59225082397461
C7,Undetermined,12.601251602172852
C8,23.913909912109375,21.77505111694336
C9,Undetermined,15.392240524291992
C10,Undetermined,19.253463745117188
C11,Undetermined,28.71856689453125
C12,26.98560905456543,22.895065307617188
D1,Undetermined,16.815275192260742
D2,Undetermined,
D3,18.12664031982422,15.47668743133545
D4,Undetermined,17.74773597717285
D5,Undetermined,11.093099594116211
D6,Undetermined,22.59225082397461
D7,Undetermined,12.601251602172852
D8,Undetermined,21.77505111694336
D9,Undetermined,15.392240524291992
D10,Undetermined,19.253463745117188
D11,Undetermined,28.71856689453125
D12,Undetermined,22.895065307617188
E1,Undetermined,16.815275192260742
E2,Undetermined,
E3,Undetermined,15.47668743133545
E4,Undetermined,17.74773597717285
E5,8.229540824890137,11.093099594116211
E6,Undetermined,22.59225082397461
E7,Undetermined,12.601251602172852
E8,Undetermined,21.77505111694336
E9,Undetermined,15.392240524291992
E10,Undetermined,19.253463745117188
E11,Undetermined,28.71856689453125
E12,Undetermined,22.895065307617188
F1,Undetermined,16.815275192260742
F2,Undetermined,
F3,Undetermined,15.47668743133545
F4,9.52933120727539,17.74773597717285
F5,Undetermined,11.093099594116211
F6,Undetermined,22.59225082397461
F7,11.70213794708252,12.601251602172852
F8,Undetermined,21.77505111694336
F9,Undetermined,15.392240524291992
F10,Undetermined,19.253463745117188
F11,Undetermined,28.71856689453125
F12,Undetermined,22.895065307617188
G1,24.337003707885742,16.815275192260742
G2,Undetermined,
G3,20.045913696289062,15.47668743133545
G4,Undetermined,17.74773597717285
G5,13.956658363342285,11.093099594116211
G6,Undetermined,22.59225082397461
G7,13.578988075256348,12.601251602172852
G8,Undetermined,21.77505111694336
G9,19.903488159179688,15.392240524291992
G10,27.67853355407715,19.253463745117188
G11,Undetermined,28.71856689453125
G12,Undetermined,22.895065307617188
H1,9.293546676635742,16.815275192260742
H2,Undetermined,
H3,Undetermined,15.47668743133545
H4,20.61808204650879,17.74773597717285
H5,Undetermined,11.093099594116211
H6,Undetermined,22.59225082397461
H7,6.738351345062256,12.601251602172852
H8,19.636192321777344,21.77505111694336
H9,Undetermined,15.392240524291992
H10,Undetermined,19.253463745117188
H11,28.71856689453125,28.71856689453125
H12,Undetermined,22.895065307617188
