forward primer,reverse primer,forward GC,forward T,reverse GC,reverse T,dist,Mg Conc,idx
forw3,rev1,0.6,60.18,0.55,59.89,131.0,1.3,0
forw3,rev1,0.6,60.18,0.55,59.89,131.0,2.0,1
forw3,rev5,0.6,60.18,0.6,59.89,224.0,1.3,4
forw3,rev5,0.6,60.18,0.6,59.89,224.0,2.0,5
forw3,rev3,0.6,60.18,0.6,59.89,222.0,1.3,8
forw3,rev3,0.6,60.18,0.6,59.89,222.0,2.0,9
forw3,rev0,0.6,60.18,0.55,60.18,340.0,1.3,12
forw3,rev0,0.6,60.18,0.55,60.18,340.0,2.7,14
forw3,rev0,0.6,60.18,0.55,60.18,340.0,3.4,15
forw3,rev7,0.6,60.18,0.55,60.18,338.0,1.3,16
forw3,rev7,0.6,60.18,0.55,60.18,338.0,2.7,18
forw3,rev7,0.6,60.18,0.55,60.18,338.0,3.4,19
forw3,rev2,0.6,60.18,0.55,59.74,704.0,1.3,20
forw3,rev2,0.6,60.18,0.55,59.74,704.0,2.0,21
forw3,rev2,0.6,60.18,0.55,59.74,704.0,2.7,22
forw3,rev2,0.6,60.18,0.55,59.74,704.0,3.4,23
forw3,rev4,0.6,60.18,0.55,59.68,660.0,1.3,24
forw3,rev4,0.6,60.18,0.55,59.68,660.0,2.0,25
forw3,rev4,0.6,60.18,0.55,59.68,660.0,2.7,26
forw3,rev4,0.6,60.18,0.55,59.68,660.0,3.4,27
forw3,rev6,0.6,60.18,0.55,60.25,440.0,1.3,28
forw3,rev6,0.6,60.18,0.55,60.25,440.0,2.0,29
forw3,rev6,0.6,60.18,0.55,60.25,440.0,2.7,30
forw3,rev6,0.6,60.18,0.55,60.25,440.0,3.4,31
forw3,rev8,0.6,60.18,0.55,60.32,841.0,1.3,32
forw3,rev8,0.6,60.18,0.55,60.32,841.0,2.0,33
forw5,rev1,0.55,60.18,0.55,59.89,88.0,1.3,36
forw5,rev1,0.55,60.18,0.55,59.89,88.0,2.0,37
forw5,rev1,0.55,60.18,0.55,59.89,88.0,2.7,38
forw5,rev5,0.55,60.18,0.6,59.89,181.0,1.3,40
forw5,rev5,0.55,60.18,0.6,59.89,181.0,3.4,43
forw5,rev3,0.55,60.18,0.6,59.89,179.0,1.3,44
forw5,rev3,0.55,60.18,0.6,59.89,179.0,3.4,47
forw5,rev0,0.55,60.18,0.55,60.18,297.0,1.3,48
forw5,rev0,0.55,60.18,0.55,60.18,297.0,2.7,50
forw5,rev0,0.55,60.18,0.55,60.18,297.0,3.4,51
forw5,rev7,0.55,60.18,0.55,60.18,295.0,1.3,52
forw5,rev7,0.55,60.18,0.55,60.18,295.0,2.7,54
forw5,rev7,0.55,60.18,0.55,60.18,295.0,3.4,55
forw5,rev2,0.55,60.18,0.55,59.74,661.0,1.3,56
forw5,rev2,0.55,60.18,0.55,59.74,661.0,2.0,57
forw5,rev2,0.55,60.18,0.55,59.74,661.0,2.7,58
forw5,rev2,0.55,60.18,0.55,59.74,661.0,3.4,59
forw5,rev4,0.55,60.18,0.55,59.68,617.0,1.3,60
forw5,rev4,0.55,60.18,0.55,59.68,617.0,2.0,61
forw5,rev4,0.55,60.18,0.55,59.68,617.0,2.7,62
forw5,rev4,0.55,60.18,0.55,59.68,617.0,3.4,63
forw5,rev6,0.55,60.18,0.55,60.25,397.0,1.3,64
forw5,rev6,0.55,60.18,0.55,60.25,397.0,2.7,66
forw5,rev6,0.55,60.18,0.55,60.25,397.0,3.4,67
forw5,rev8,0.55,60.18,0.55,60.32,798.0,1.3,68
forw5,rev8,0.55,60.18,0.55,60.32,798.0,2.0,69
forw5,rev8,0.55,60.18,0.55,60.32,798.0,2.7,70
forw5,rev8,0.55,60.18,0.55,60.32,798.0,3.4,71
forw2,rev1,0.55,60.18,0.55,59.89,47.0,1.3,72
forw2,rev1,0.55,60.18,0.55,59.89,47.0,2.0,73
forw2,rev1,0.55,60.18,0.55,59.89,47.0,2.7,74
forw2,rev5,0.55,60.18,0.6,59.89,140.0,1.3,76
forw2,rev5,0.55,60.18,0.6,59.89,140.0,2.0,77
forw2,rev5,0.55,60.18,0.6,59.89,140.0,2.7,78
forw2,rev5,0.55,60.18,0.6,59.89,140.0,3.4,79
forw2,rev3,0.55,60.18,0.6,59.89,138.0,1.3,80
forw2,rev3,0.55,60.18,0.6,59.89,138.0,2.0,81
forw2,rev3,0.55,60.18,0.6,59.89,138.0,2.7,82
forw2,rev3,0.55,60.18,0.6,59.89,138.0,3.4,83
forw2,rev0,0.55,60.18,0.55,60.18,256.0,1.3,84
forw2,rev0,0.55,60.18,0.55,60.18,256.0,2.0,85
forw2,rev0,0.55,60.18,0.55,60.18,256.0,2.7,86
forw2,rev0,0.55,60.18,0.55,60.18,256.0,3.4,87
forw2,rev7,0.55,60.18,0.55,60.18,254.0,1.3,88
forw2,rev7,0.55,60.18,0.55,60.18,254.0,2.0,89
forw2,rev7,0.55,60.18,0.55,60.18,254.0,2.7,90
forw2,rev7,0.55,60.18,0.55,60.18,254.0,3.4,91
forw2,rev2,0.55,60.18,0.55,59.74,620.0,1.3,92
forw2,rev2,0.55,60.18,0.55,59.74,620.0,2.0,93
forw2,rev2,0.55,60.18,0.55,59.74,620.0,2.7,94
forw2,rev2,0.55,60.18,0.55,59.74,620.0,3.4,95
forw2,rev4,0.55,60.18,0.55,59.68,576.0,2.0,97
forw2,rev4,0.55,60.18,0.55,59.68,576.0,2.7,98
forw2,rev4,0.55,60.18,0.55,59.68,576.0,3.4,99
forw2,rev6,0.55,60.18,0.55,60.25,356.0,1.3,100
forw2,rev6,0.55,60.18,0.55,60.25,356.0,2.7,102
forw2,rev6,0.55,60.18,0.55,60.25,356.0,3.4,103
forw2,rev8,0.55,60.18,0.55,60.32,757.0,1.3,104
forw2,rev8,0.55,60.18,0.55,60.32,757.0,2.0,105
forw2,rev8,0.55,60.18,0.55,60.32,757.0,2.7,106
forw2,rev8,0.55,60.18,0.55,60.32,757.0,3.4,107
forw6,rev0,0.6,60.18,0.55,60.18,147.0,1.3,108
forw6,rev7,0.6,60.18,0.55,60.18,145.0,1.3,112
forw6,rev7,0.6,60.18,0.55,60.18,145.0,2.0,113
forw6,rev2,0.6,60.18,0.55,59.74,511.0,2.0,117
forw6,rev2,0.6,60.18,0.55,59.74,511.0,2.7,118
forw6,rev2,0.6,60.18,0.55,59.74,511.0,3.4,119
forw6,rev4,0.6,60.18,0.55,59.68,467.0,1.3,120
forw6,rev4,0.6,60.18,0.55,59.68,467.0,2.0,121
forw6,rev4,0.6,60.18,0.55,59.68,467.0,2.7,122
forw6,rev4,0.6,60.18,0.55,59.68,467.0,3.4,123
forw6,rev6,0.6,60.18,0.55,60.25,247.0,1.3,124
forw6,rev6,0.6,60.18,0.55,60.25,247.0,2.0,125
forw6,rev8,0.6,60.18,0.55,60.32,648.0,1.3,128
forw6,rev8,0.6,60.18,0.55,60.32,648.0,2.0,129
forw6,rev8,0.6,60.18,0.55,60.32,648.0,2.7,130
forw6,rev8,0.6,60.18,0.55,60.32,648.0,3.4,131
forw4,rev1,0.6,59.81,0.55,59.89,119.0,1.3,132
forw4,rev1,0.6,59.81,0.55,59.89,119.0,2.0,133
forw4,rev5,0.6,59.81,0.6,59.89,212.0,1.3,136
forw4,rev5,0.6,59.81,0.6,59.89,212.0,2.0,137
forw4,rev5,0.6,59.81,0.6,59.89,212.0,2.7,138
forw4,rev3,0.6,59.81,0.6,59.89,210.0,1.3,140
forw4,rev3,0.6,59.81,0.6,59.89,210.0,2.0,141
forw4,rev3,0.6,59.81,0.6,59.89,210.0,2.7,142
forw4,rev3,0.6,59.81,0.6,59.89,210.0,3.4,143
forw4,rev0,0.6,59.81,0.55,60.18,328.0,1.3,144
forw4,rev0,0.6,59.81,0.55,60.18,328.0,2.7,146
forw4,rev0,0.6,59.81,0.55,60.18,328.0,3.4,147
forw4,rev7,0.6,59.81,0.55,60.18,326.0,1.3,148
forw4,rev7,0.6,59.81,0.55,60.18,326.0,2.7,150
forw4,rev7,0.6,59.81,0.55,60.18,326.0,3.4,151
forw4,rev2,0.6,59.81,0.55,59.74,692.0,1.3,152
forw4,rev2,0.6,59.81,0.55,59.74,692.0,2.0,153
forw4,rev2,0.6,59.81,0.55,59.74,692.0,2.7,154
forw4,rev2,0.6,59.81,0.55,59.74,692.0,3.4,155
forw4,rev4,0.6,59.81,0.55,59.68,648.0,1.3,156
forw4,rev4,0.6,59.81,0.55,59.68,648.0,2.0,157
forw4,rev4,0.6,59.81,0.55,59.68,648.0,2.7,158
forw4,rev4,0.6,59.81,0.55,59.68,648.0,3.4,159
forw4,rev6,0.6,59.81,0.55,60.25,428.0,1.3,160
forw4,rev6,0.6,59.81,0.55,60.25,428.0,2.7,162
forw4,rev8,0.6,59.81,0.55,60.32,829.0,1.3,164
forw4,rev8,0.6,59.81,0.55,60.32,829.0,2.0,165
forw4,rev8,0.6,59.81,0.55,60.32,829.0,2.7,166
forw4,rev8,0.6,59.81,0.55,60.32,829.0,3.4,167
forw1,rev1,0.55,59.81,0.55,59.89,159.0,1.3,168
forw1,rev1,0.55,59.81,0.55,59.89,159.0,3.4,171
forw1,rev5,0.55,59.81,0.6,59.89,252.0,1.3,172
forw1,rev5,0.55,59.81,0.6,59.89,252.0,2.0,173
forw1,rev5,0.55,59.81,0.6,59.89,252.0,3.4,175
forw1,rev3,0.55,59.81,0.6,59.89,250.0,1.3,176
forw1,rev3,0.55,59.81,0.6,59.89,250.0,2.0,177
forw1,rev3,0.55,59.81,0.6,59.89,250.0,2.7,178
forw1,rev3,0.55,59.81,0.6,59.89,250.0,3.4,179
forw1,rev0,0.55,59.81,0.55,60.18,368.0,1.3,180
forw1,rev0,0.55,59.81,0.55,60.18,368.0,2.7,182
forw1,rev0,0.55,59.81,0.55,60.18,368.0,3.4,183
forw1,rev7,0.55,59.81,0.55,60.18,366.0,2.0,185
forw1,rev7,0.55,59.81,0.55,60.18,366.0,2.7,186
forw1,rev7,0.55,59.81,0.55,60.18,366.0,3.4,187
forw1,rev9,0.55,59.81,0.5,60.18,65.0,1.3,188
forw1,rev9,0.55,59.81,0.5,60.18,65.0,2.0,189
forw1,rev9,0.55,59.81,0.5,60.18,65.0,2.7,190
forw1,rev2,0.55,59.81,0.55,59.74,732.0,1.3,192
forw1,rev2,0.55,59.81,0.55,59.74,732.0,2.0,193
forw1,rev2,0.55,59.81,0.55,59.74,732.0,2.7,194
forw1,rev2,0.55,59.81,0.55,59.74,732.0,3.4,195
forw1,rev4,0.55,59.81,0.55,59.68,688.0,2.0,197
forw1,rev4,0.55,59.81,0.55,59.68,688.0,2.7,198
forw1,rev4,0.55,59.81,0.55,59.68,688.0,3.4,199
forw1,rev6,0.55,59.81,0.55,60.25,468.0,1.3,200
forw1,rev6,0.55,59.81,0.55,60.25,468.0,2.0,201
forw1,rev6,0.55,59.81,0.55,60.25,468.0,2.7,202
forw1,rev6,0.55,59.81,0.55,60.25,468.0,3.4,203
forw1,rev8,0.55,59.81,0.55,60.32,869.0,1.3,204
forw1,rev8,0.55,59.81,0.55,60.32,869.0,2.0,205
forw1,rev8,0.55,59.81,0.55,60.32,869.0,2.7,206
forw1,rev8,0.55,59.81,0.55,60.32,869.0,3.4,207
forw0,rev1,0.5,60.32,0.55,59.89,45.0,1.3,208
forw0,rev1,0.5,60.32,0.55,59.89,45.0,2.0,209
forw0,rev1,0.5,60.32,0.55,59.89,45.0,2.7,210
forw0,rev5,0.5,60.32,0.6,59.89,138.0,1.3,212
forw0,rev5,0.5,60.32,0.6,59.89,138.0,2.7,214
